id,doi
id:20230524_REU-ermitage_UAV-02_4,doi:10.5281/zenodo.10038383
id:20230524_REU-ermitage_UAV-02_2,doi:10.5281/zenodo.10038464
id:20230705_REU-ermitage_UAV-02_1,doi:10.5281/zenodo.10039108
id:20230524_REU-ermitage_UAV-02_3,doi:10.5281/zenodo.10039111
id:20230802_REU-ermitage_UAV-02_1,doi:10.5281/zenodo.10039112
id:20230524_REU-ermitage_UAV-02_1,doi:10.5281/zenodo.10039113
